org_name,org_slug,region,signer_name,signer_title,signer_email
Allan Hancock College,allan-hancock-college,,,,
American River College,american-river-college,,,,
Antelope Valley College,antelope-valley-college,,,,
Bakersfield College,bakersfield-college,,,,
Barstow Community College,barstow-community-college,,,,
Berkeley City College,berkeley-city-college,,,,
Butte College,butte-college,,,,
Cabrillo College,cabrillo-college,,,,
Cañada College,ca-ada-college,,,,
Cerritos College,cerritos-college,,,,
Cerro Coso Community College,cerro-coso-community-college,,,,
Chabot College,chabot-college,,,,
Chaffey College,chaffey-college,,,,
Citrus College,citrus-college,,,,
City College of San Francisco,city-college-of-san-francisco,,,,
Clovis Community College,clovis-community-college,,,,
Coalinga College,coalinga-college,,,,
Coastline Community College,coastline-community-college,,,,
College of Alameda,college-of-alameda,,,,
College of San Mateo,college-of-san-mateo,,,,
College of the Canyons,college-of-the-canyons,,,,
College of the Desert,college-of-the-desert,,,,
College of the Redwoods,college-of-the-redwoods,,,,
College of the Sequoias,college-of-the-sequoias,,,,
Columbia College,columbia-college,,,,
Compton College,compton-college,,,,
Copper Mountain College,copper-mountain-college,,,,
Crafton Hills College,crafton-hills-college,,,,
Cuesta College,cuesta-college,,,,
Cuyamaca College,cuyamaca-college,,,,
Cypress College ,cypress-college,,,,
De Anza College,de-anza-college,,,,
Diablo Valley College,diablo-valley-college,,,,
East Los Angeles College,east-los-angeles-college,,,,
El Camino College,el-camino-college,,,,
Evergreen Valley College,evergreen-valley-college,,,,
Foothill College,foothill-college,,,,
Fresno City College,fresno-city-college,,,,
Fullerton College,fullerton-college,,,,
Gavilan College,gavilan-college,,,,
Glendale Community College,glendale-community-college,,,,
Golden West College,golden-west-college,,,,
Hartnell College,hartnell-college,,,,
Irvine Valley College,irvine-valley-college,,,,
Laney College,laney-college,,,,
Las Positas College,las-positas-college,,,,
Lassen College,lassen-college,,,,
Lemoore College,lemoore-college,,,,
Long Beach City College,long-beach-city-college,,,,
Los Angeles City College,los-angeles-city-college,,,,
Los Angeles Harbor College,los-angeles-harbor-college,,,,
Los Angeles Mission College,los-angeles-mission-college,,,,
Los Angeles Pierce College,los-angeles-pierce-college,,,,
Los Angeles Trade Technical College,los-angeles-trade-technical-college,,,,
Los Angeles Valley College,los-angeles-valley-college,,,,
Los Medanos College,los-medanos-college,,,,
Madera College,madera-college,,,,
Mendocino College,mendocino-college,,,,
Merced College,merced-college,,,,
Merritt College,merritt-college,,,,
Mission College,mission-college,,,,
Modesto Junior College,modesto-junior-college,,,,
Monterey Peninsula College,monterey-peninsula-college,,,,
Moorpark College,moorpark-college,,,,
Moreno Valley College,moreno-valley-college,,,,
Mt. San Antonio College,mt-san-antonio-college,,,,
Mt. San Jacinto College,mt-san-jacinto-college,,,,
Napa Valley College,napa-valley-college,,,,
Norco College,norco-college,,,,
Oxnard College,oxnard-college,,,,
Palo Verde College,palo-verde-college,,,,
Pasadena City College,pasadena-city-college,,,,
Porterville College,porterville-college,,,,
Reedley College,reedley-college,,,,
Riverside City College,riverside-city-college,,,,
Sacramento City College,sacramento-city-college,,,,
Saddleback College,saddleback-college,,,,
San Bernardino Valley College,san-bernardino-valley-college,,,,
San Diego City College,san-diego-city-college,,,,
San Diego Mesa College,san-diego-mesa-college,,,,
San Diego Miramar College,san-diego-miramar-college,,,,
San Joaquin Delta College,san-joaquin-delta-college,,,,
San Jose City College ,san-jose-city-college,,,,
Santa Ana College,santa-ana-college,,,,
Santa Barbara City College,santa-barbara-city-college,,,,
Santa Rosa Junior College,santa-rosa-junior-college,,,,
Santiago Canyon College,santiago-canyon-college,,,,
Shasta College,shasta-college,,,,
Sierra College,sierra-college,,,,
Skyline College,skyline-college,,,,
Solano Community College,solano-community-college,,,,
Southwestern College,southwestern-college,,,,
Taft College,taft-college,,,,
Ventura College,ventura-college,,,,
Victor Valley College,victor-valley-college,,,,
West Los Angeles College,west-los-angeles-college,,,,
West Valley College,west-valley-college,,,,
Woodland Community College,woodland-community-college,,,,
